[None None],-1,[2.03911192 0.01809371 0.01620718]
[None None],0,[1.90614265 0.0235839  0.03072421]
[1.90274276 0.02227941 0.02930182],0,[ 1.59425027 -0.06244467 -0.22727943]
[ 1.59028129 -0.06589438 -0.23026387],1,[ 1.50560309 -0.08890006 -0.30135397]
[ 1.5176305  -0.09258718 -0.29777132],1,[ 1.31283891 -0.22495192 -0.59683631]
[ 1.5176305  -0.09258718 -0.29777132],1,[ 1.31216915 -0.22566795 -0.59260068]
[ 1.31316209 -0.22981264 -0.5928738 ],1,[ 1.06921184 -0.32314394 -0.71563088]
[ 0.92168522 -0.38121791 -0.68639424],2,[ 0.72139259 -0.3696279  -0.70861458]
[ 0.71695429 -0.363112   -0.69141986],2,[ 0.53875093 -0.35815828 -0.64459005]
[ 0.71695429 -0.363112   -0.69141986],2,[ 0.53855605 -0.35922015 -0.6471143 ]
[ 0.50059962 -0.3535828  -0.63302267],2,[ 0.41872647 -0.33852533 -0.65279277]
[ 0.42087994 -0.3395937  -0.65099011],2,[ 0.21363232 -0.28585215 -0.77700867]
[ 0.15625913 -0.2639837  -0.84144266],2,[-0.09110908 -0.14481591 -1.77261645]
