[None None],-1,[-2.72689366 -2.75910398  0.80319845]
[None None],0,[-2.51312391 -2.7625621   0.84808233]
[-2.50780792 -2.76621756  0.84758205],1,[-2.23357874 -2.68162789  0.68391515]
[-2.10286472 -2.62703703  0.60350215],1,[-2.10744742 -2.62591431  0.60622356]
[-1.8016914  -2.4819795   0.32108656],1,[-1.78738984 -2.48034867  0.29720583]
[-1.8016914  -2.4819795   0.32108656],1,[-1.64895565 -2.39788538  0.6488444 ]
[-1.8016914  -2.4819795   0.32108656],1,[-1.69091669 -2.41579226  0.63099832]
[-1.56423171 -2.38440478  0.8815547 ],2,[-1.54431077 -2.39899492  0.90035056]
[-1.45765769 -2.41809208  0.97629   ],2,[-1.42014966 -2.42902159  1.03607083]
[-1.31303048 -2.43963616  1.11690548],2,[-1.17097666 -2.48015102  1.25673222]
[-1.13838878 -2.47896968  1.26931908],2,[-1.14473625 -2.50936086  1.33906577]
[-1.18186921 -2.51601628  1.32568785],2,[-1.11978377 -2.55578254  1.41518792]
[None None],-1,[2.02849116 0.01131204 0.00484354]
[None None],0,[1.83275864 0.01511291 0.02139016]
[ 1.6692732  -0.02185711 -0.11997565],1,[ 1.65419803 -0.02282706 -0.11969451]
[ 1.62982153 -0.03199317 -0.1356147 ],1,[ 1.43579056 -0.17398687 -0.52500896]
[ 1.24729705 -0.30959245 -0.79866117],1,[ 1.24402127 -0.30548985 -0.79350555]
[ 1.01849395 -0.43240764 -0.96068563],0,[ 1.01814213 -0.43469483 -0.96143623]
[ 0.77361015 -0.51507689 -1.02399458],2,[ 0.7711915  -0.51463832 -1.02188081]
[ 0.76002285 -0.51462042 -1.01722569],2,[ 0.61609944 -0.53224696 -0.9704972 ]
[ 0.5787569  -0.54097341 -0.96599702],2,[ 0.37699532 -0.52020544 -0.98429714]
[ 0.08778162 -0.44896096 -1.24869428],2,[ 0.09065156 -0.45184073 -1.24243793]
[ 0.01220943 -0.42583235 -1.35689422],2,[-0.10520064 -0.35696598 -1.54228929]
[ 0.01220943 -0.42583235 -1.35689422],2,[-0.10567061 -0.35599726 -1.543349  ]
